2021-06-20T23:36:50.636Z [AUDIT] Token created by 'anonymous': tokenId='a116105b-ba1f-4a33-bfb7-4226b7ae0e94', issuer='jfrou@01f8nwh7v6t8742tsjn8gp75aj', subject='jfrou@01f8nwh7v6t8742tsjn8gp75aj', expiry=none, refreshable=false
2021-06-20T23:36:51.343Z [AUDIT] Token created by 'anonymous': tokenId='8873d6b9-4ddc-4db1-91c5-907ed46c93e0', issuer='jfac@01f8nwh1yrag8q1qnmzprd126q', subject='jfac@01f8nwh1yrag8q1qnmzprd126q', expiry=1624232331331, refreshable=false
2021-06-20T23:36:51.481Z [AUDIT] Token created by 'anonymous': tokenId='409f4913-36e8-4f2b-88c1-1e07b99b8e58', issuer='jfac@01f8nwh1yrag8q1qnmzprd126q', subject='jfac@01f8nwh1yrag8q1qnmzprd126q', expiry=1624232331479, refreshable=false
2021-06-20T23:36:51.709Z [AUDIT] Token created by 'anonymous': tokenId='24d28683-bab6-4168-b6eb-d011c20c1ac8', issuer='jfac@01f8nwh1yrag8q1qnmzprd126q', subject='jfac@01f8nwh1yrag8q1qnmzprd126q', expiry=1624232331707, refreshable=false
2021-06-20T23:36:52.126Z [AUDIT] Token created by 'anonymous': tokenId='bc5770b5-1092-47c7-8ff3-80c0e1611d51', issuer='jfac@01f8nwh1yrag8q1qnmzprd126q', subject='jfac@01f8nwh1yrag8q1qnmzprd126q', expiry=1624232332124, refreshable=false
2021-06-20T23:36:52.945Z [AUDIT] Token created by 'anonymous': tokenId='dae0fc80-0d69-468e-8f37-d39a2f40c4bb', issuer='jfac@01f8nwh1yrag8q1qnmzprd126q', subject='jfac@01f8nwh1yrag8q1qnmzprd126q', expiry=1624232332942, refreshable=false
2021-06-20T23:36:53.677Z [AUDIT] Token created by 'anonymous': tokenId='b71db67c-1e0e-4c7b-93f2-0fe630074a66', issuer='jfevt@01f8nwh1yrag8q1qnmzprd126q', subject='jfevt@01f8nwh1yrag8q1qnmzprd126q', expiry=none, refreshable=false
2021-06-20T23:36:53.693Z [AUDIT] Token created by 'anonymous': tokenId='1aab2c96-a2d1-4627-8a9f-9b5d34d7f21a', issuer='jfmd@01f8nwh87jb6azvh9qdm7f0x6q', subject='jfmd@01f8nwh87jb6azvh9qdm7f0x6q', expiry=none, refreshable=false
2021-06-20T23:36:53.807Z [AUDIT] Token created by 'jfevt@01f8nwh1yrag8q1qnmzprd126q': tokenId='ff7fda29-1ae5-40e7-8c12-0be8520045e1', issuer='jfevt@01f8nwh1yrag8q1qnmzprd126q', subject='jfevt@01f8nwh1yrag8q1qnmzprd126q', expiry=1624318613798, refreshable=true
2021-06-20T23:36:53.814Z [AUDIT] Token created by 'jfevt@01f8nwh1yrag8q1qnmzprd126q': tokenId='fef1f9d4-30bb-4145-937d-16682706db19', issuer='jfevt@01f8nwh1yrag8q1qnmzprd126q', subject='jfevt@01f8nwh1yrag8q1qnmzprd126q', expiry=1624318613797, refreshable=true
2021-06-20T23:36:53.833Z [AUDIT] Token created by 'jfevt@01f8nwh1yrag8q1qnmzprd126q': tokenId='7d8b721f-9215-4b20-9690-d372610c578f', issuer='jfevt@01f8nwh1yrag8q1qnmzprd126q', subject='jfevt@01f8nwh1yrag8q1qnmzprd126q', expiry=1624318613802, refreshable=true
