2021-06-20T23:36:50.661Z|babb70b97d1dff6|UNKNOWN|UNKNOWN|anonymous|jfrou@01f8nwh7v6t8742tsjn8gp75aj|C|TKN|{"added":{"owner":"jfrou@01f8nwh7v6t8742tsjn8gp75aj","created":"1624232210583","subject":"jfrou@01f8nwh7v6t8742tsjn8gp75aj","scope":"admin","id":"a116105b-ba1f-4a33-bfb7-4226b7ae0e94","type":"generic"}}
2021-06-20T23:36:51.347Z|76cac1648a2a1450|UNKNOWN|UNKNOWN|anonymous|jfac@01f8nwh1yrag8q1qnmzprd126q|C|TKN|{"added":{"owner":"jfac@01f8nwh1yrag8q1qnmzprd126q","created":"1624232211326","expirationTime":"1624232331331","subject":"jfac@01f8nwh1yrag8q1qnmzprd126q","scope":"internal-sync","id":"8873d6b9-4ddc-4db1-91c5-907ed46c93e0","type":"generic"}}
2021-06-20T23:36:51.482Z|76cac1648a2a1450|UNKNOWN|UNKNOWN|anonymous|jfac@01f8nwh1yrag8q1qnmzprd126q|C|TKN|{"added":{"owner":"jfac@01f8nwh1yrag8q1qnmzprd126q","created":"1624232211478","expirationTime":"1624232331479","subject":"jfac@01f8nwh1yrag8q1qnmzprd126q","scope":"internal-sync","id":"409f4913-36e8-4f2b-88c1-1e07b99b8e58","type":"generic"}}
2021-06-20T23:36:51.711Z|76cac1648a2a1450|UNKNOWN|UNKNOWN|anonymous|jfac@01f8nwh1yrag8q1qnmzprd126q|C|TKN|{"added":{"owner":"jfac@01f8nwh1yrag8q1qnmzprd126q","created":"1624232211706","expirationTime":"1624232331707","subject":"jfac@01f8nwh1yrag8q1qnmzprd126q","scope":"internal-sync","id":"24d28683-bab6-4168-b6eb-d011c20c1ac8","type":"generic"}}
2021-06-20T23:36:52.128Z|76cac1648a2a1450|UNKNOWN|UNKNOWN|anonymous|jfac@01f8nwh1yrag8q1qnmzprd126q|C|TKN|{"added":{"owner":"jfac@01f8nwh1yrag8q1qnmzprd126q","created":"1624232212123","expirationTime":"1624232332124","subject":"jfac@01f8nwh1yrag8q1qnmzprd126q","scope":"internal-sync","id":"bc5770b5-1092-47c7-8ff3-80c0e1611d51","type":"generic"}}
2021-06-20T23:36:52.949Z|76cac1648a2a1450|UNKNOWN|UNKNOWN|anonymous|jfac@01f8nwh1yrag8q1qnmzprd126q|C|TKN|{"added":{"owner":"jfac@01f8nwh1yrag8q1qnmzprd126q","created":"1624232212942","expirationTime":"1624232332942","subject":"jfac@01f8nwh1yrag8q1qnmzprd126q","scope":"internal-sync","id":"dae0fc80-0d69-468e-8f37-d39a2f40c4bb","type":"generic"}}
2021-06-20T23:36:53.681Z|7bda23be5a21debe|UNKNOWN|UNKNOWN|anonymous|jfevt@01f8nwh1yrag8q1qnmzprd126q|C|TKN|{"added":{"owner":"jfevt@01f8nwh1yrag8q1qnmzprd126q","created":"1624232213662","subject":"jfevt@01f8nwh1yrag8q1qnmzprd126q","scope":"admin","id":"b71db67c-1e0e-4c7b-93f2-0fe630074a66","type":"generic"}}
2021-06-20T23:36:53.694Z|54655448301740ed|UNKNOWN|UNKNOWN|anonymous|jfmd@01f8nwh87jb6azvh9qdm7f0x6q|C|TKN|{"added":{"owner":"jfmd@01f8nwh87jb6azvh9qdm7f0x6q","created":"1624232213690","subject":"jfmd@01f8nwh87jb6azvh9qdm7f0x6q","scope":"admin","id":"1aab2c96-a2d1-4627-8a9f-9b5d34d7f21a","type":"generic"}}
2021-06-20T23:36:53.812Z|432f2e7ffc129430|UNKNOWN|UNKNOWN|jfevt@01f8nwh1yrag8q1qnmzprd126q|jfevt@01f8nwh1yrag8q1qnmzprd126q|C|TKN|{"added":{"owner":"jfevt@01f8nwh1yrag8q1qnmzprd126q","created":"1624232213797","expirationTime":"1624318613798","subject":"jfevt@01f8nwh1yrag8q1qnmzprd126q","scope":"api:* applied-permissions/admin","id":"ff7fda29-1ae5-40e7-8c12-0be8520045e1","type":"generic"}}
2021-06-20T23:36:53.815Z|432f2e7ffc129430|UNKNOWN|UNKNOWN|jfevt@01f8nwh1yrag8q1qnmzprd126q|jfevt@01f8nwh1yrag8q1qnmzprd126q|C|TKN|{"added":{"owner":"jfevt@01f8nwh1yrag8q1qnmzprd126q","created":"1624232213797","expirationTime":"1624318613797","subject":"jfevt@01f8nwh1yrag8q1qnmzprd126q","scope":"api:* applied-permissions/admin","id":"fef1f9d4-30bb-4145-937d-16682706db19","type":"generic"}}
2021-06-20T23:36:53.835Z|432f2e7ffc129430|UNKNOWN|UNKNOWN|jfevt@01f8nwh1yrag8q1qnmzprd126q|jfevt@01f8nwh1yrag8q1qnmzprd126q|C|TKN|{"added":{"owner":"jfevt@01f8nwh1yrag8q1qnmzprd126q","created":"1624232213798","expirationTime":"1624318613802","subject":"jfevt@01f8nwh1yrag8q1qnmzprd126q","scope":"api:* applied-permissions/admin","id":"7d8b721f-9215-4b20-9690-d372610c578f","type":"generic"}}
2021-06-20T23:36:53.838Z|432f2e7ffc129430|UNKNOWN|UNKNOWN|jfevt@01f8nwh1yrag8q1qnmzprd126q|jfevt@01f8nwh1yrag8q1qnmzprd126q|C|TKN|{"added":{"owner":"jfevt@01f8nwh1yrag8q1qnmzprd126q","created":"1624232213797","expirationTime":"1624318613798","subject":"jfevt@01f8nwh1yrag8q1qnmzprd126q","scope":"api:* applied-permissions/admin","id":"0b2f08bc-827e-410a-8e13-f26627001ad2","type":"generic"}}
2021-06-20T23:37:03.240Z|17efe08b989a0c55|UNKNOWN|UNKNOWN|anonymous|jfrt@01f8nwhqzx1mr613fq7fnd0yns|C|TKN|{"added":{"owner":"jfrt@01f8nwhqzx1mr613fq7fnd0yns","created":"1624232223237","subject":"jfrt@01f8nwhqzx1mr613fq7fnd0yns","scope":"admin","id":"27bd735e-bfde-46ca-b13e-bf8dccc5d580","type":"generic"}}
2021-06-20T23:37:05.456Z|5a27a01e809573de|UNKNOWN|_system_|jfrt@01f8nwhqzx1mr613fq7fnd0yns|anonymous|C|USR|{"added":{"realm":"internal","status":"enabled","username":"anonymous"}}
2021-06-20T23:37:05.523Z|2a8966ada3343176|UNKNOWN|_system_|jfrt@01f8nwhqzx1mr613fq7fnd0yns|readers|C|GRP|{"added":{"autoJoin":"true","name":"readers","description":"A group for read-only users","realm":"internal"}}
2021-06-20T23:37:05.758Z|1ec526beb2c6d1e|UNKNOWN|_system_|jfrt@01f8nwhqzx1mr613fq7fnd0yns|jfrt@01f8nwhqzx1mr613fq7fnd0yns:71d8f1fe-abd1-4548-ab2d-3e51ae585c22|C|PRM|{"added":{"customData.includePattern":"**","actions.anonymous(USER):READ":"anonymous(USER):READ","customData.updatedBy":"_system_","displayName":"Anything","actions.readers(GROUP):READ":"readers(GROUP):READ","customData.repoKeys":"[ANY]","name":"jfrt@01f8nwhqzx1mr613fq7fnd0yns:71d8f1fe-abd1-4548-ab2d-3e51ae585c22","customData.excludePattern":"","serviceId":"jfrt@01f8nwhqzx1mr613fq7fnd0yns","resourceType":"REPO"}}
